"age","INDHOLD"
15,0.1
16,0.2
17,0.2
18,0.6
19,2.8
20,4.8
21,8
22,13.1
23,22.1
24,29
25,43.5
26,62.3
27,81.2
28,103.1
29,117.5
30,127.9
31,134.1
32,124.5
33,113.7
34,101.8
35,90.9
36,75.1
37,63.6
38,48.9
39,39.8
40,31.8
41,20.8
42,14
43,7.7
44,5.6
45,2.8
46,2.4
47,1.2
48,0.4
49,0.3
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
